,OFFENSE_CODE_GROUP,DISTRICT,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long
352788,Larceny,A1,2016,3,2,20,42.35814629,-71.05464996
352789,Larceny,D4,2016,3,2,19,42.34862382,-71.08277637
352792,Larceny,C6,2016,3,7,17,42.33535781,-71.04590903
352814,Larceny,D4,2016,3,2,18,42.35095909,-71.0741278
352828,Larceny,D14,2016,3,7,0,42.34279114,-71.16777585
352834,Larceny,D4,2016,3,2,12,42.349154999999996,-71.09392109
352845,Larceny,B2,2016,3,2,17,42.315969,-71.066253
352859,Larceny,C11,2016,3,2,17,42.30559368,-71.05887861
352864,Larceny,D4,2016,3,2,17,42.34862382,-71.08277637
352865,Larceny,D4,2016,3,4,17,42.3503787,-71.07626098
352880,Larceny,D4,2016,3,2,15,42.34862382,-71.08277637
352898,Larceny,C11,2016,3,2,15,42.29848866,-71.06313294
352918,Larceny,A1,2016,3,6,15,42.35680075,-71.05893025
352922,Larceny,A1,2016,3,1,14,42.3583249,-71.05784884
